label,message
ham,Go until jurong point crazy. Available only in bugis n great world la e buffet. Cine there got amore wat.
ham,Ok lar. Joking wif u oni.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question. T&C apply. Over18s only.
ham,U dun say so early hor. U c already then say.
ham,Nah I don't think he goes to usf he lives around here though.
spam,FreeMsg Hey there darling it's been 3 weeks now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send and receive.
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request Melle Melle has been set as your callertune for all Callers. Press 9 to copy your friends Callertune.
spam,WINNER!! As a valued network customer you have been selected to receive a 900 pound prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030.
ham,I'm gonna be home soon and I don't want to talk about this stuff anymore tonight. I've cried enough today.
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575. Cost 150p/day 6days wk Pobox 4403 Ldnw1a7rw18. Stop? Send STOP.
ham,England v Macedonia. Don't miss the goals. Txt ur national team to 87077 eg ENGLAND to 87077.
spam,Urgent! Call 09061749602 from landline. Your ABTA number is 6755. 4 FREE entry to competition. Exp 4 weeks.
ham,I've been searching for the right words to thank you for this breather. I promise I won't take your help for granted and will fulfil my promise.
spam,IMPORTANT - You could be entitled up to 3750 in compensation from mis-sold PPI on a credit card or loan. Please reply PPI for info or STOP to opt out.
ham,Possibly he is trying to downplay the importance of that position. It is a new job but he may not be aware of what it requires.
ham,I'll call you tomorrow.
spam,Congratulations! You have been selected for our survey. Complete it now and earn a gift voucher! Click here to participate.
ham,Today is the last day of the month.
ham,Hey I'm free now if you wanna chat?
spam,Claim your free Jio recharge of Rs 555. Limited offer! SMS YES to 9999 now!
ham,No problem. See you at 7.
ham,Had lunch? Want to meet for coffee later?
spam,Win Rs 50000 daily! Download our app now and start playing.
ham,I'm running a bit late. Be there in 20 mins.
ham,Can you send me the notes for today's class?
spam,Congratulations! You have won a 1 week FREE membership in our prize Jackpot! To claim just call 28080. Cancel? Text STOP to 28080.
ham,Thanks for calling back. I'll talk to you later.
ham,Sry I missed your call. Was in a meeting.
spam,Free ringtones! Get chart toppers now. Text MUSIC to 69969. Free for 3 days then charged weekly unless stopped.
ham,What time does your class finish?
ham,Okay I'll be there around 6.
spam,You have WON a guaranteed Rs 1 Lakh! Verify at our website. Use code WIN123.
ham,Let me know when you're free.
ham,Did you watch the match last night?
spam,URGENT: Your account has been suspended. Login now to verify your identity immediately.
ham,Happy birthday! Hope you have a great day.
ham,Just checking in. How are you feeling?
ham,The project deadline is next Friday.
spam,You are selected for special cashback offer. Download app now to claim your reward.
