product,review,rating
boAt Rockerz 255,Amazing sound quality for the price. Bass is deep and the mic works great on calls.,5
boAt Airdopes 141,These earbuds are fantastic! Crystal clear audio and battery lasts all day.,5
boAt Rockerz 450,Decent headphones but the build quality feels cheap. Plastic breaks easily.,2
boAt Bassheads 100,Good for the price. Not the best sound but acceptable for daily commute.,3
boAt Airdopes 141,Stopped working after 3 months. Very disappointed. Customer service is terrible.,1
boAt Rockerz 255,Loving it! Workout sessions are much more fun now. Fits well and stays put.,5
boAt Stone 650,This speaker is AMAZING. Loud and clear even outdoors. Best purchase this year.,5
boAt Airdopes 141,Battery drains too fast. Says 6 hours but barely lasts 3. Not worth the money.,2
boAt Rockerz 450,Superb product. Sound is rich and bass is heavy. Very comfortable for long use.,5
boAt Bassheads 100,Earphones broke within a week. The wire near the jack came loose. Waste of money.,1
boAt Stone 650,Okay product. Sound is average. Expected better for the price. Gets distorted at high volume.,3
boAt Airdopes 141,Great earbuds overall. Pairing is seamless and fit is comfortable. Minor issue with case.,4
boAt Rockerz 255,The noise cancellation doesn't really work. You can still hear everything around you clearly.,2
boAt Bassheads 100,For the price its unbeatable. Sound quality is good enough for casual listening.,4
boAt Airdopes 141,Received a defective piece. One earbud doesn't work at all from day one.,1
boAt Stone 650,Party essential! Everyone at my house loves this speaker. Great bass. Very happy.,5
boAt Rockerz 450,Comfortable and good sound but mic quality on calls is very poor.,3
boAt Airdopes 141,I have been using for 6 months. Still working perfectly. Great value for money.,5
boAt Bassheads 100,Tangled wires all the time. Annoying. Sound is ok nothing special.,2
boAt Rockerz 255,Excellent product. Water resistant and bass is punchy. Good for gym sessions.,5
Mamaearth Vitamin C Face Wash,Skin feels so fresh after using this! Brightened my complexion noticeably.,5
Mamaearth Onion Hair Oil,I don't notice any difference after using for a month. Maybe I expected too much.,2
Mamaearth Ubtan Face Pack,Lovely product. Natural ingredients. Skin looks glowing and feels soft.,5
Mamaearth Vitamin C Serum,Packaging is great but the serum caused breakouts on my sensitive skin.,2
Mamaearth Tea Tree Facewash,Reduces oiliness effectively. My skin feels clean without being dry.,4
Mamaearth Onion Hair Oil,Smells terrible. Cannot use it at all. Packaging is misleading.,1
Mamaearth Vitamin C Face Wash,This is literally just water with some fragrance. No effect whatsoever.,1
Mamaearth Onion Shampoo,Hair fall reduced significantly after 3 weeks of use. Highly recommend!,5
Mamaearth Ubtan Face Pack,Good product but the quantity is very less for the price.,3
Mamaearth Vitamin C Serum,Been using for 2 months. Spots are fading. Love this product.,5
Amazon Kindle,Best device I've bought. Reading is now a daily habit. Screen is easy on eyes.,5
Amazon Echo Dot,Alexa is helpful for basic tasks but connectivity issues are annoying.,3
Amazon Kindle,The device stopped charging after a few weeks. Quality issue. Very bad experience.,1
Amazon Echo Dot,This little device has changed my home routine. Smart home integration is seamless.,5
Amazon Fire TV Stick,Easy to set up. Works perfectly with all streaming apps. Great value.,4
Amazon Echo Dot,Not worth the money. Alexa doesn't understand my accent half the time.,2
Amazon Kindle,Lightweight and battery lasts weeks. Perfect for travel. Love it.,5
Amazon Fire TV Stick,Good product. Some apps lag occasionally but overall experience is fine.,3
Amazon Echo Dot,Sound quality is surprisingly good for a small device. Alexa is very responsive.,4
Amazon Kindle,Display is crisp. Night mode is excellent. Only wish it had more storage.,4
